Twitter_User_Name,Twitter_Account,Twitter_User_Description,Tweet_id,Tweet_created_at,Tweet_text,char_count,word_count,question_count,exclamation_count,hashtag_count,mention_count,link_count,polarity,subjectivity,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pron_ratio,unique_word_ratio,stopword_count
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1071062332065882112,2018-12-07 15:22:13,b'RT @MalalaFund: \xf0\x9f\x92\x95\xf0\x9f\x92\x95 Learn more about the incredible @AmandaSCGorman: https://t.co/LN7rXZSOvU. https://t.co/5VlCrOlMti',149.0,11.0,0.0,0.0,0.0,2.0,2.0,0.7,0.7,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.0,0.72,1.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1071054597438009344,2018-12-07 14:51:29,b'Honored to receive the Gleitsman Activist Award from @Kennedy_School last night - and even more so to meet young le\xe2\x80\xa6 https://t.co/HjZmtik0V8',154.0,21.0,0.0,0.0,0.0,1.0,1.0,0.19999999999999998,0.32222222222222224,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.0,0.9629629629629629,4.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1070461170497265664,2018-12-05 23:33:25,b'Making progress for girls\xe2\x80\x99 education requires support from leaders in every sector. Thank you to @CelebrityCruise f\xe2\x80\xa6 https://t.co/ZHC2oS6fb7',165.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.15,0.05,0.0,0.05,0.9285714285714286,3.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1069014663097212930,2018-12-01 23:45:31,b'The Price of Free is an inspiring and moving film about the Nobel Peace Prize winner and my friend @K_satyarthi\xe2\x80\x99s w\xe2\x80\xa6 https://t.co/dSDTwIzo5p',165.0,22.0,0.0,0.0,0.0,1.0,1.0,0.45,0.9,0.17391304347826086,0.08695652173913043,0.0,0.0,0.043478260869565216,0.875,6.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1068945802104590337,2018-12-01 19:11:53,"b'RT @FarahPMohamed: Leaders made some progress for girls\xe2\x80\x99 education at this year\xe2\x80\x99s #G20, but they haven\xe2\x80\x99t gone far enough. My statement on t\xe2\x80\xa6'",187.0,23.0,0.0,0.0,1.0,1.0,0.0,0.05,0.75,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.8333333333333334,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1067506736871944193,2018-11-27 19:53:34,"b'I have spoken with girls in the foothills of Pakistan, in the favelas of Brazil and in the camps of Nigeria. I have\xe2\x80\xa6 https://t.co/VkrYJyQ92s'",154.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14814814814814814,0.1111111111111111,0.0,0.0,0.037037037037037035,0.7419354838709677,10.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1063101930493394944,2018-11-15 16:10:26,b'RT @MalalaFund: We can\xe2\x80\x99t build strong economies if girls aren\xe2\x80\x99t learning the skills they need to succeed. This month #G20 leaders are meeti\xe2\x80\xa6',176.0,23.0,0.0,0.0,1.0,1.0,0.0,0.43333333333333335,0.7333333333333334,0.20689655172413793,0.13793103448275862,0.034482758620689655,0.0,0.06896551724137931,0.8484848484848485,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1061704823966457858,2018-11-11 19:38:50,b'@Brewmaster_CCB Thank you so much for your support \xf0\x9f\x99\x8f Sending all my love to my hero Evelyn \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',229.0,18.0,0.0,0.0,0.0,1.0,0.0,0.35,0.4,0.21052631578947367,0.10526315789473684,0.0,0.10526315789473684,0.21052631578947367,0.49019607843137253,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1060489790934650880,2018-11-08 11:10:43,"b'Always proud of my father @ZiauddinY, but today I\xe2\x80\x99m especially so. His new book \xe2\x80\x9cLet Her Fly\xe2\x80\x9d is available now\xe2\x80\xa6 https://t.co/zOjrEApLjp'",182.0,21.0,0.0,0.0,0.0,1.0,1.0,0.3340909090909091,0.7136363636363636,0.2,0.04,0.12,0.08,0.12,0.8333333333333334,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1058051361605144584,2018-11-01 17:41:16,"b'RT @MalalaFund: ""What tends to get lost in the current refugee crisis is the humanity behind the statistics."" \xe2\x80\x94 @Malala in her new book, ""W\xe2\x80\xa6'",165.0,25.0,0.0,0.0,0.0,2.0,0.0,-0.08787878787878789,0.5181818181818182,0.21875,0.0625,0.09375,0.0,0.0625,0.8387096774193549,7.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072635293721919488,2018-12-11 23:32:37,b'RT @andimJULIE: THIS THREAD THO https://t.co/12puVKU7GU',58.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,1.0,0.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072634735149633536,2018-12-11 23:30:24,"b'@SterlingBeau @ryanunderfire @noahcent @lukebenward @JackGriffo @TheKilling omg! I would never, Sterling! Found the\xe2\x80\xa6 https://t.co/UDq9pHKs32'",154.0,14.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,1.0,1.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072628453516689410,2018-12-11 23:05:26,b'RT @seewhatsnext: Ted Bundy is the subject of Netflix\xe2\x80\x99s next documentary series. Director @JoeBerlinger will take you inside the mind of th\xe2\x80\xa6',165.0,22.0,0.0,0.0,0.0,2.0,0.0,-0.05555555555555555,0.1111111111111111,0.28,0.04,0.08,0.0,0.04,0.8620689655172413,5.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072626386551099393,2018-12-11 22:57:13,"b'Blessing your timeline with this photo of best buds Noah Centineo, Luke Benward, and Jack Griffo (\xf0\x9f\x93\xb8: @ryanunderfire) https://t.co/0thD7gUsHP'",158.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,0.12,0.04,0.08,0.0,0.04,1.0,2.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072623361723953153,2018-12-11 22:45:12,b'@TheRitaMoreno HAPPY BIRTHDAY QUEEN',38.0,4.0,0.0,0.0,0.0,1.0,0.0,0.8,1.0,0.2,0.2,0.2,0.0,0.0,1.0,0.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072607137338220550,2018-12-11 21:40:44,"b'RT @NetflixFilm: Sandra Bullock, Trevante Rhodes, John Malkovich, and Sarah Paulson are starring in a new thriller directed by Oscar-winner\xe2\x80\xa6'",154.0,20.0,0.0,0.0,0.0,1.0,0.0,0.13636363636363635,0.45454545454545453,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0,0.0,1.0,3.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072604107427471361,2018-12-11 21:28:41,b'@hellocleopatra i have a spiritual connection with birchwood fireplace good to know im not alone',99.0,15.0,0.0,0.0,0.0,1.0,0.0,0.35,0.3666666666666667,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.11764705882352941,1.0,2.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072587479939727360,2018-12-11 20:22:37,"b'RT @seewhatsnext: .@BrendaSong @Mike_Vogel &amp; @DennisHaysbert star in Hybrid\xe2\x80\x99s \xe2\x80\x9cSecret Obsession."" Directed by @Peter_LSullivan, the film fo\xe2\x80\xa6'",180.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.8461538461538461,2.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072587459563790336,2018-12-11 20:22:32,b'RT @thevirdas: My new comedy special: Vir Das #LosingIT is now streaming on #Netflix @NetflixIsAJoke @NetflixIndia Worldwide! It would be a\xe2\x80\xa6',154.0,21.0,0.0,1.0,2.0,3.0,0.0,0.29139610389610393,0.512987012987013,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,1.0,4.0
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072586908692299778,2018-12-11 20:20:21,b'@Meggerz1981 @hellolanemoore honestly same',45.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.125,0.0,0.2,0.2,0.2,0.0,1.0,0.0
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072693812504522752,2018-12-12 03:25:09,"b""I'll wet nurse you all night long scoopy weiss https://t.co/TisdSv0AKF""",73.0,10.0,0.0,0.0,0.0,0.0,1.0,-0.07500000000000001,0.4,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,1.0,0.0
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072682354664202242,2018-12-12 02:39:37,"b""I'm so confident I do the crossword in my own blood. HENRY HIGGINS' FELLOW PHONETICIST? colonel pickering bitch i'm opening a vein""",133.0,22.0,1.0,0.0,0.0,0.0,0.0,0.55,0.9166666666666667,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.88,3.0
