Twitter_User_Name,Twitter_Account,Twitter_User_Description,Tweet_id,Tweet_created_at,Tweet_text
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1071062332065882112,2018-12-07 15:22:13,b'RT @MalalaFund: \xf0\x9f\x92\x95\xf0\x9f\x92\x95 Learn more about the incredible @AmandaSCGorman: https://t.co/LN7rXZSOvU. https://t.co/5VlCrOlMti'
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1071054597438009344,2018-12-07 14:51:29,b'Honored to receive the Gleitsman Activist Award from @Kennedy_School last night - and even more so to meet young le\xe2\x80\xa6 https://t.co/HjZmtik0V8'
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1070461170497265664,2018-12-05 23:33:25,b'Making progress for girls\xe2\x80\x99 education requires support from leaders in every sector. Thank you to @CelebrityCruise f\xe2\x80\xa6 https://t.co/ZHC2oS6fb7'
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1069014663097212930,2018-12-01 23:45:31,b'The Price of Free is an inspiring and moving film about the Nobel Peace Prize winner and my friend @K_satyarthi\xe2\x80\x99s w\xe2\x80\xa6 https://t.co/dSDTwIzo5p'
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1068945802104590337,2018-12-01 19:11:53,"b'RT @FarahPMohamed: Leaders made some progress for girls\xe2\x80\x99 education at this year\xe2\x80\x99s #G20, but they haven\xe2\x80\x99t gone far enough. My statement on t\xe2\x80\xa6'"
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1067506736871944193,2018-11-27 19:53:34,"b'I have spoken with girls in the foothills of Pakistan, in the favelas of Brazil and in the camps of Nigeria. I have\xe2\x80\xa6 https://t.co/VkrYJyQ92s'"
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1063101930493394944,2018-11-15 16:10:26,b'RT @MalalaFund: We can\xe2\x80\x99t build strong economies if girls aren\xe2\x80\x99t learning the skills they need to succeed. This month #G20 leaders are meeti\xe2\x80\xa6'
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1061704823966457858,2018-11-11 19:38:50,b'@Brewmaster_CCB Thank you so much for your support \xf0\x9f\x99\x8f Sending all my love to my hero Evelyn \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1060489790934650880,2018-11-08 11:10:43,"b'Always proud of my father @ZiauddinY, but today I\xe2\x80\x99m especially so. His new book \xe2\x80\x9cLet Her Fly\xe2\x80\x9d is available now\xe2\x80\xa6 https://t.co/zOjrEApLjp'"
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1058051361605144584,2018-11-01 17:41:16,"b'RT @MalalaFund: ""What tends to get lost in the current refugee crisis is the humanity behind the statistics."" \xe2\x80\x94 @Malala in her new book, ""W\xe2\x80\xa6'"
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072635293721919488,2018-12-11 23:32:37,b'RT @andimJULIE: THIS THREAD THO https://t.co/12puVKU7GU'
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072634735149633536,2018-12-11 23:30:24,"b'@SterlingBeau @ryanunderfire @noahcent @lukebenward @JackGriffo @TheKilling omg! I would never, Sterling! Found the\xe2\x80\xa6 https://t.co/UDq9pHKs32'"
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072628453516689410,2018-12-11 23:05:26,b'RT @seewhatsnext: Ted Bundy is the subject of Netflix\xe2\x80\x99s next documentary series. Director @JoeBerlinger will take you inside the mind of th\xe2\x80\xa6'
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072626386551099393,2018-12-11 22:57:13,"b'Blessing your timeline with this photo of best buds Noah Centineo, Luke Benward, and Jack Griffo (\xf0\x9f\x93\xb8: @ryanunderfire) https://t.co/0thD7gUsHP'"
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072623361723953153,2018-12-11 22:45:12,b'@TheRitaMoreno HAPPY BIRTHDAY QUEEN'
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072607137338220550,2018-12-11 21:40:44,"b'RT @NetflixFilm: Sandra Bullock, Trevante Rhodes, John Malkovich, and Sarah Paulson are starring in a new thriller directed by Oscar-winner\xe2\x80\xa6'"
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072604107427471361,2018-12-11 21:28:41,b'@hellocleopatra i have a spiritual connection with birchwood fireplace good to know im not alone'
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072587479939727360,2018-12-11 20:22:37,"b'RT @seewhatsnext: .@BrendaSong @Mike_Vogel &amp; @DennisHaysbert star in Hybrid\xe2\x80\x99s \xe2\x80\x9cSecret Obsession."" Directed by @Peter_LSullivan, the film fo\xe2\x80\xa6'"
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072587459563790336,2018-12-11 20:22:32,b'RT @thevirdas: My new comedy special: Vir Das #LosingIT is now streaming on #Netflix @NetflixIsAJoke @NetflixIndia Worldwide! It would be a\xe2\x80\xa6'
Netflix US,netflix,"Since 5,456,245 of you asked, I'd like to formally apologize that we do not have Home Alone.",1072586908692299778,2018-12-11 20:20:21,b'@Meggerz1981 @hellolanemoore honestly same'
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072693812504522752,2018-12-12 03:25:09,"b""I'll wet nurse you all night long scoopy weiss https://t.co/TisdSv0AKF"""
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072682354664202242,2018-12-12 02:39:37,"b""I'm so confident I do the crossword in my own blood. HENRY HIGGINS' FELLOW PHONETICIST? colonel pickering bitch i'm opening a vein"""
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072676645541240833,2018-12-12 02:16:56,b'RT @catccohen: MY ORIGIN STORY https://t.co/gt4MAiMnzZ'
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072622513639837696,2018-12-11 22:41:50,"b'RT @imchriskelly: I try not to get too personal on here, but I just got some news that has left me sad, confused, and - more than anything\xe2\x80\xa6'"
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072308259531431937,2018-12-11 01:53:06,"b""@SnoozyWeiss SUZiELEE!!! YOU'RE MY BABY I'M YOUR MOMMY END OF STORY!"""
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1072307911370727430,2018-12-11 01:51:43,b'@bariweiss @SnoozyWeiss i change her diapies now bitch'
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1071988648004980737,2018-12-10 04:43:04,b'Tried to score some petit fours off a fancyclothes cop and now I\xe2\x80\x99m cuffed in the back of his duesenberg'
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1071982311661596673,2018-12-10 04:17:54,b'Abortions are the original regift'
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1071540248356773894,2018-12-08 23:01:18,b'@KatBproudscot Yay!! So glad you like it and yes I am!'
Jen Spyra,jenspyra,"Writer for @colbertlateshow, formerly for @theonion. Robe Hound",1071499845188374529,2018-12-08 20:20:45,"b'@bariweiss @THR I\xe2\x80\x99m your girl, your slave, your master and I am empty without you. I love my Schmeepie!!!!!!'"
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1072475264129622017,2018-12-11 12:56:43,"b""@MusaVirk18 This duty paid by travellers will be used by PM and it's cabinet for traveling abroad on tax-payers mon\xe2\x80\xa6 https://t.co/kb6XQ4b3YX"""
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1072459520285265920,2018-12-11 11:54:09,b'RT @JeremyMcLellan: 1. The guy said there wasn\xe2\x80\x99t an attack so I\xe2\x80\x99m not sure how I\xe2\x80\x99m making fun of an attack that never happened.\n2. Other th\xe2\x80\xa6'
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1072418553880608769,2018-12-11 09:11:22,b'@SBGillani Ghareeb_shehar tarasta ha aik nawalay ko..\nAmeer_e_shehar k kuttay b raj kerte Hain..'
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1071991846799376386,2018-12-10 04:55:47,"b'RT @Wuzgar: Dear @Hammad_Azhar:\nTo hell with your senseless Tabdeeli.\nInstead of going after billionaires, you started fleecing poor overse\xe2\x80\xa6'"
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1071984005283807232,2018-12-10 04:24:38,b'RT @JeremyMcLellan: Here\xe2\x80\x99s a helpful guide: \nJournalist getting attacked = Not funny.\nJournalist getting a flat tire and publicly accusing\xe2\x80\xa6'
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1071980187858939904,2018-12-10 04:09:27,b'RT @aishsiraj: @Maria_Memon When women anchors are demeaning themselves by opting to do panel discussions on which of the 2 wives of a pers\xe2\x80\xa6'
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1071744639915491328,2018-12-09 12:33:28,b'RT @Silly_Food: \xd9\x85\xd8\xac\xd8\xb1\xd9\x85 \xd8\xaa\xd9\x85\xd8\xa7\xd9\x85  \xd9\x81\xd9\x88\xd8\xb1\xdb\x8c \xd8\xb1\xdb\x81\xd8\xa7 \xda\xa9\xd8\xb1 \xd8\xaf\xd8\xa6\xdb\x8c\xdb\x92 \xda\xaf\xd8\xa6\xdb\x92\n\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x86\xda\xa9\xdb\x92 \xd9\x85\xda\x86\xd9\x84\xda\xa9\xdb\x92 \xd8\xa8\xda\xbe\xdb\x8c \xd8\xa7\xd8\xaf\xd8\xa7 \xda\xa9\xd8\xb1 \xd8\xaf\xdb\x8c\xd8\xa6\xdb\x92 \xda\xaf\xd8\xa6\xdb\x92\n\xdb\x81\xd8\xb1 \xd8\xa7\xd9\x86\xd9\x82\xd9\x84\xd8\xa7\xd8\xa8 \xd9\x88\xd9\x82\xd8\xaa \xd9\x85\xdb\x8c\xda\xba \xdb\x81\xd9\x85 \xd8\xb3\xdb\x92 \xd9\x81\xd9\x82\xdb\x8c\xd8\xb1 \xd9\x84\xd9\x88\xda\xaf\n\xd8\xb4\xd8\xa7\xdb\x81\xd9\x88\xda\xba \xda\xa9\xdb\x8c \xd8\xae\xd9\x88\xd8\xa7\xdb\x81\xd8\xb4\xd9\x88\xda\xba \xd9\xbe\xdb\x81 \xd9\x81\xd8\xaf\xd8\xa7\xe2\x80\xa6'
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1071723157755711488,2018-12-09 11:08:07,"b""@momentmemori Let's plan here @idrees2152"""
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1071723094929276928,2018-12-09 11:07:52,"b'RT @momentmemori: I have seen the Heaven, Passo Gujal Hunza , Video: Travelore Adventures #Pakistan https://t.co/mmI0CqNcTR'"
waqas Sajid,wqs47,"Software Engineer by profession having interest in politics & Metaphysics. Inspired by Iqbal.
#NUST #EME #PTIFamily",1070980228934189056,2018-12-07 09:55:59,b'RT @AdilZafarUsfzai: Ma Shaa Allah !!! \nThe breathtaking Beauty of Swat. The Scenic Fizagat lying besides River Swat.\n@ZiauddinY @NaPoha_ h\xe2\x80\xa6'
